Iteration,Rate(kbps),Loss,Delay(sec)
1,2000.00,0.0000,0.000210
2,3000.00,0.0000,0.000210
3,4000.00,0.0000,0.000210
4,5000.00,0.0000,0.000130
5,5000.00,0.0000,0.000201
6,5000.00,0.0000,0.000143
7,5000.00,0.0000,0.000143
8,5000.00,0.0000,0.000138
9,5000.00,0.0000,0.000138
10,5000.00,0.0000,0.000130
11,5000.00,0.0000,0.000084
12,5000.00,0.0000,0.000102
13,5000.00,0.0000,0.000080
14,5000.00,0.0000,0.000079
15,5000.00,0.0000,0.000107
16,5000.00,0.0000,0.000103
17,5000.00,0.0000,0.000085
18,5000.00,0.0000,0.000089
19,5000.00,0.0000,0.000087
20,5000.00,0.0000,0.000087
21,5000.00,0.0000,0.000123
22,5000.00,0.0000,0.000089
23,5000.00,0.0000,0.000102
24,5000.00,0.0000,0.000080
25,5000.00,0.0000,0.000087
26,5000.00,0.0000,0.000081
27,5000.00,0.0000,0.000081
28,5000.00,0.0000,0.000086
29,5000.00,0.0000,0.000081
30,5000.00,0.0000,0.000083
31,5000.00,0.0000,0.000078
32,5000.00,0.0000,0.000116
33,5000.00,0.0000,0.000077
34,5000.00,0.0000,0.000093
35,5000.00,0.0000,0.000097
36,5000.00,0.0000,0.000092
37,5000.00,0.0000,0.000074
38,5000.00,0.0000,0.000068
39,5000.00,0.0000,0.000071
40,5000.00,0.0000,0.000111
41,5000.00,0.0000,0.000123
42,5000.00,0.0000,0.000116
43,5000.00,0.0000,0.000201
44,5000.00,0.0000,0.000117
45,5000.00,0.0000,0.000109
46,5000.00,0.0000,0.000107
47,5000.00,0.0000,0.000107
48,5000.00,0.0000,0.000114
49,5000.00,0.0000,0.000096
50,5000.00,0.0000,0.000105
51,5000.00,0.0000,0.000129
52,5000.00,0.0000,0.000105
53,5000.00,0.0000,0.000133
54,5000.00,0.0000,0.000122
55,5000.00,0.0000,0.000093
56,5000.00,0.0000,0.000099
57,5000.00,0.0000,0.000099
58,5000.00,0.0000,0.000093
59,5000.00,0.0000,0.000094
60,5000.00,0.0000,0.000104
61,5000.00,0.0000,0.000097
62,5000.00,0.0000,0.000109
63,5000.00,0.0000,0.000100
64,5000.00,0.0000,0.000128
65,5000.00,0.0000,0.000121
66,5000.00,0.0000,0.000219
67,5000.00,0.0000,0.000100
68,5000.00,0.0000,0.000127
69,5000.00,0.0000,0.000122
70,5000.00,0.0000,0.000105
71,5000.00,0.0000,0.000167
72,5000.00,0.0000,0.000091
73,5000.00,0.0000,0.000115
74,5000.00,0.0000,0.000111
75,5000.00,0.0000,0.000111
76,5000.00,0.0000,0.000100
77,5000.00,0.0000,0.000111
78,5000.00,0.0000,0.000093
79,5000.00,0.0000,0.000106
80,5000.00,0.0000,0.000098
81,5000.00,0.0000,0.000098
82,5000.00,0.0000,0.000097
83,5000.00,0.0000,0.000088
84,5000.00,0.0000,0.000089
85,5000.00,0.0000,0.000088
86,5000.00,0.0000,0.000101
87,5000.00,0.0000,0.000103
88,5000.00,0.0000,0.000124
89,5000.00,0.0000,0.000108
90,5000.00,0.0000,0.000129
91,5000.00,0.0000,0.000112
92,5000.00,0.0000,0.000092
93,5000.00,0.0000,0.000122
94,5000.00,0.0000,0.000120
95,5000.00,0.0000,0.000121
96,5000.00,0.0000,0.000102
97,5000.00,0.0000,0.000105
98,5000.00,0.0000,0.000134
99,5000.00,0.0000,0.000134
100,5000.00,0.0000,0.000110
101,5000.00,0.0000,0.000116
102,5000.00,0.0000,0.000121
103,5000.00,0.0000,0.000107
104,5000.00,0.0000,0.000127
105,5000.00,0.0000,0.000098
106,5000.00,0.0000,0.000096
107,5000.00,0.0000,0.000094
108,5000.00,0.0000,0.000091
109,5000.00,0.0000,0.000132
110,5000.00,0.0000,0.000116
111,5000.00,0.0000,0.000093
112,5000.00,0.0000,0.000144
113,5000.00,0.0000,0.000099
114,5000.00,0.0000,0.000150
115,5000.00,0.0000,0.000128
116,5000.00,0.0000,0.000138
117,5000.00,0.0000,0.000130
118,5000.00,0.0000,0.000108
119,5000.00,0.0000,0.000126
120,5000.00,0.0000,0.000139
121,5000.00,0.0000,0.000118
122,5000.00,0.0000,0.000101
123,5000.00,0.0000,0.000121
124,5000.00,0.0000,0.000121
125,5000.00,0.0000,0.000102
126,5000.00,0.0000,0.000129
127,5000.00,0.0000,0.000107
128,5000.00,0.0000,0.000104
129,5000.00,0.0000,0.000112
130,5000.00,0.0000,0.000112
131,5000.00,0.0000,0.000131
132,5000.00,0.0000,0.000114
133,5000.00,0.0000,0.000102
134,5000.00,0.0000,0.000090
135,5000.00,0.0000,0.000090
136,5000.00,0.0000,0.000115
137,5000.00,0.0000,0.000118
138,5000.00,0.0000,0.000128
139,5000.00,0.0000,0.000090
140,5000.00,0.0000,0.000099
